"goods_id"	"goods_name"	"short_name"	"thumb_url"	"hd_thumb_url"	"image_url"	"price"	"normal_price"	"market_price"	"sales_tip"	"hd_url"
"177891541"	"原味手抓饼面饼【美粮坊】30片25片20片、60g90g多规格可选7仓发"	"原味手抓饼面饼7仓发货慢必赔"	"http://t00img.yangkeduo.com/t10img/images/2018-07-19/35a4047af6d196815bfe2579ee9053e8.jpeg"	"http://t00img.yangkeduo.com/t02img/images/2018-07-19/21317d5544a678892597de35e4b812c8.jpeg"	"http://t00img.yangkeduo.com/t04img/images/2018-07-18/b4adbf63fddd4183ccc50a20c31e6721.jpeg"	"1510.00"	"1790.00"	"5900.00"	"已拼10万+件"	"http://t00img.yangkeduo.com/t08img/images/2018-07-19/150c8b6c2f1da8b967fa0bc36266a384.jpeg"
"184091886"	"【10支新款竹炭】细毛成人 软毛牙刷 竹炭情侣款牙刷 家庭装"	"【冲量狂亏1万单】【10支新款竹炭"	"http://t00img.yangkeduo.com/t11img/images/2018-03-17/45dd9640578edca1c5fd71aacd810dce.jpeg"	"http://t00img.yangkeduo.com/t04img/images/2018-03-17/d1efc36e5ae08b0c66e51c75d49b80b5.jpeg"	"http://t00img.yangkeduo.com/t09img/images/2018-04-24/cde206691efc999410850e5c8b480cf6.jpeg"	"390.00"	"490.00"	"3990.00"	"已拼10万+件"	"http://t05img.yangkeduo.com/images/2018-03-17/20a65d98d0bda9784c038c3a31f99230.jpeg"
"188358872"	"新货美国山核桃碧根果含罐500g原味盐焗散装特产1000g/500g/250g"	"康之悠品美国山核桃碧根果"	"http://t00img.yangkeduo.com/t01img/images/2018-05-07/c1d74315b911801b7629b840f316d983.jpeg"	"http://t00img.yangkeduo.com/t08img/images/2018-05-07/aba3fc8762e50eab3f4d880a04fb5aa2.jpeg"	"http://t00img.yangkeduo.com/t09img/images/2018-07-10/c2837cb137912cc44d584617486124cc.jpeg"	"1390.00"	"1880.00"	"7500.00"	"已拼10万+件"	"http://t09img.yangkeduo.com/images/2018-05-07/2a237d1bfc45ec199786fb8baaa63f30.jpeg"
"323205922"	"多规格中性笔0.5子弹头黑色笔磨砂子弹头中性笔水笔学生签字笔"	"0.5子弹头黑色笔磨砂子弹头中性水笔"	"http://omsproductionimg.yangkeduo.com/images/2017-12-13/c56d9784f36639d5dbae015db634c8f0.jpeg"	"http://omsproductionimg.yangkeduo.com/images/2017-12-13/24f4a93a751ec7466edc63609ebca12b.jpeg"	"http://t00img.yangkeduo.com/goods/images/2018-08-31/28e5b988d94694568ad732be3ea57c6b.jpeg"	"540.00"	"690.00"	"2990.00"	"已拼10万+件"	"http://omsproductionimg.yangkeduo.com/images/2017-12-13/f6b9144079023433c38e752e2873a440.jpeg"
"368177954"	"【3-20包装洗衣机清洗剂】净尔康洗衣机槽清洗剂滚筒波筒污除垢剂"	"洗衣机清洗剂"	"http://t00img.yangkeduo.com/goods/images/2018-07-28/b5ef78209ebe302c640cb14b686538b3.jpeg"	"http://t00img.yangkeduo.com/goods/images/2018-07-28/ed563b5150f3421d76d425296a0a0af7.jpeg"	"http://t00img.yangkeduo.com/goods/images/2018-08-29/f6174972c1b2c03141f23edfa98ab786.jpeg"	"670.00"	"800.00"	"3990.00"	"已拼10万+件"	"http://t00img.yangkeduo.com/goods/images/2018-07-26/4b9f9b43b1f08af41807463a51d2c493.jpeg"
"469195126"	"【加绒不加价 热销百万】2018新款帆布鞋男板鞋透气休闲鞋懒人鞋"	"帆布鞋鞋男士休闲鞋老北京布鞋"	"http://t00img.yangkeduo.com/goods/images/2018-09-14/a3c8004161b3aa397740f0292ac9ff5a.jpeg"	"http://t00img.yangkeduo.com/goods/images/2018-09-14/7f69d718441a61e24a7752052435ead1.jpeg"	"http://t00img.yangkeduo.com/t07img/images/2018-03-11/6c5f4734e4f01a3917bd4701ad08e97b.jpeg"	"1290.00"	"2190.00"	"16800.00"	"已拼10万+件"	"http://t00img.yangkeduo.com/goods/images/2018-09-14/f912197fafae9d23059d0121fd82fa97.jpeg"
"725723526"	"汽车行车记录仪电子狗高清夜视后视镜前后单双镜头停车监控车载"	"高清行车记录仪"	"http://t00img.yangkeduo.com/t08img/images/2018-06-13/35d5ab1b3e06ebc28e393bd2a2226959.jpeg"	"http://t00img.yangkeduo.com/t01img/images/2018-06-13/fa47f1371e3bd432f848a64b6a552a10.jpeg"	"http://t00img.yangkeduo.com/goods/images/2018-09-16/08654b6596b52c78f8b458abcc0a586b.jpeg"	"4900.00"	"6500.00"	"68900.00"	"已拼1万件"	"http://t00img.yangkeduo.com/t09img/images/2018-06-13/a5d0698768f72c4284139932d20d5474.jpeg"
"1375918177"	"OLOEY被子固定器被罩固定器防跑夹家用被套被角扣床单防滑固定器"	"被子床单被罩固定器"	"http://t00img.yangkeduo.com/goods/images/2018-09-11/4542bc868382d95b8908ecb0014e9960.jpeg"	"http://t00img.yangkeduo.com/goods/images/2018-09-11/ba3fb1281e4f4942976877df37023e5c.jpeg"	"http://t00img.yangkeduo.com/t08img/images/2018-07-12/b5beb362fcb68dd8ae28aa53b9a77639.jpeg"	"428.00"	"550.00"	"9800.00"	"已拼4万件"	"http://t00img.yangkeduo.com/goods/images/2018-09-11/6bfe058a816ae4529bdfa70e405131bd.jpeg"
"1444507800"	"黑色垃圾袋加厚塑料袋大号不脏手厨房家用办公室手提式垃圾袋子"	"垃圾袋加厚家用手提"	"http://t00img.yangkeduo.com/t05img/images/2018-06-22/1ffedefbefeda59ed9f5da70f1277d18.jpeg"	"http://t00img.yangkeduo.com/t11img/images/2018-06-22/bb351d949ec9d31f932b6309b9d8d973.jpeg"	"http://t00img.yangkeduo.com/t07img/images/2018-06-22/914e37308bdc6d82acfb16c873f6ca62.jpeg"	"280.00"	"450.00"	"2900.00"	"已拼10万+件"	"http://t00img.yangkeduo.com/t08img/images/2018-06-22/ac1ba87385330e91d5850845161c84ea.jpeg"
"1574414749"	"【净重3斤只要11.8 特价1天】新鲜·低糖沙琪玛办公室特产休闲零食"	"净重3斤只要11.8亏3天新鲜低糖沙琪玛"	"http://t00img.yangkeduo.com/goods/images/2018-09-13/b4176fa8c7430128d468e16acd7561ff.jpeg"	"http://t00img.yangkeduo.com/goods/images/2018-09-13/0eaf6e2a3f65c0f928aa6dd4888009be.jpeg"	"http://t00img.yangkeduo.com/t04img/images/2018-06-14/5b23bb007254cfb03c927ac673cb5512.jpeg"	"1150.00"	"1380.00"	"5980.00"	"已拼10万+件"	"http://t00img.yangkeduo.com/goods/images/2018-09-13/f52c450612ec28be9c5365602af4dac8.jpeg"
